date,sale,stock,price
2020-12-14,0,16,1.49
2020-12-15,0,688,1.49
2020-12-16,49,735,1.49
2020-12-17,157,578,1.29
2020-12-18,193,385,1.29
2020-12-19,94,291,1.29
2020-12-20,135,156,1.29
2020-12-21,118,38,1.29
2020-12-22,18,116,1.29
2020-12-23,0,116,1.29
2020-12-24,14,102,1.29
2020-12-25,0,102,1.29
2020-12-26,20,82,1.29
2020-12-27,42,328,1.29
2020-12-28,45,283,1.29
2020-12-29,55,612,1.29
2020-12-30,59,553,1.29
2020-12-31,11,542,1.29
2021-01-01,0,542,1.29
2021-01-02,77,561,1.29
2021-01-03,60,2229,1.29
2021-01-04,1,2228,1.29
2021-01-05,69,2351,1.29
2021-01-06,98,2253,1.29
2021-01-07,119,2134,1.29
2021-01-08,93,2137,1.29
2021-01-09,92,2045,1.29
2021-01-10,112,1933,1.29
2021-01-11,96,1837,1.29
2021-01-12,93,1744,1.29
2021-01-13,65,1679,1.29
2021-01-14,100,1581,1.29
2021-01-15,51,1530,1.49
2021-01-16,55,1475,1.49
2021-01-17,71,1403,1.49
2021-01-18,57,1346,1.49
2021-01-19,34,1312,1.49
2021-01-20,47,1265,1.49
2021-01-21,88,1177,1.29
2021-01-22,51,1126,1.29
2021-01-23,49,1076,1.29
2021-01-24,110,966,1.29
2021-01-25,30,936,1.29
2021-01-26,59,877,1.29
2021-01-27,97,780,1.29
2021-01-28,155,625,1.29
2021-01-29,125,500,1.29
2021-01-30,100,496,1.29
2021-01-31,211,285,1.29
2021-02-01,88,197,1.29
2021-02-02,114,467,1.29
2021-02-03,89,570,1.29
2021-02-04,118,548,1.29
2021-02-05,84,1136,1.29
2021-02-06,125,1299,1.29
2021-02-07,184,1211,1.04
2021-02-08,107,1104,1.29
2021-02-09,70,1033,1.29
2021-02-10,66,1063,1.29
2021-02-11,89,974,1.29
2021-02-12,50,1116,2.84
2021-02-13,20,1096,2.89
2021-02-14,77,1019,2.89
2021-02-15,33,986,2.89
2021-02-16,47,1035,2.89
2021-02-17,35,1000,2.89
2021-02-18,60,1228,2.89
2021-02-19,31,1197,2.89
2021-02-20,35,1162,2.89
2021-02-21,80,1082,2.87
2021-02-22,42,1039,2.89
2021-02-23,23,1016,2.89
2021-02-24,19,997,2.89
2021-02-25,18,1075,2.89
2021-02-26,37,1134,2.89
2021-02-27,50,1084,2.89
2021-02-28,127,957,2.89
2021-03-01,123,834,2.89
2021-03-02,44,789,2.89
2021-03-03,22,767,2.89
2021-03-04,31,736,2.89
2021-03-05,22,714,2.89
2021-03-06,40,674,2.89
2021-03-07,62,612,2.89
2021-03-08,59,553,2.89
2021-03-09,28,525,2.89
2021-03-10,68,458,1.49
2021-03-11,73,385,1.49
2021-03-12,87,298,1.49
2021-03-13,175,1878,1.29
2021-03-14,300,1575,1.29
2021-03-15,196,1379,1.29
2021-03-16,123,1256,1.29
2021-03-17,168,1088,1.29
2021-03-18,209,1263,1.29
2021-03-19,188,1075,1.29
